source,source_record_id,country_iso3,country_name,country_inferred,inference_basis,review_flags,crop,crop_latin,variety_name,variety_aliases,variety_type,year_release,release_status,breeder,maintainer,status,ecology,notes,source_url,retrieved_at
kephis_2025,PIGEON PEA#KALCc-OP1- 05,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,KALCc-OP1- 05,,,2018,released,,KALRO- Katumani,,"altitude_masl: Makueni, Kitui, Mwingi,Mb eere,Thara ka, Meru,Mach akos"," Large pod size  Large grain size  Fusarium wilt tolerant | Alt(masl): Makueni, Kitui, Mwingi,Mb eere,Thara ka, Meru,Mach akos | Maturity: 4-5 | Yield: 1.2 – 3.0",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#Egerton Mbaazi 3,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,Egerton Mbaazi 3,,,2019,released,,Egerton University,,altitude_masl: Altitude: 800-1600 masl Examples: Baringo and Kerio valley, Medium seed size  Adaptable to sandy clay soil and loamy soil  Medium maturing  Good ratoonability | Alt(masl): Altitude: 800-1600 masl Examples: Baringo and Kerio valley | Maturity: 4-5 | Yield: 1.5-2,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#Egerton Mbaazi 4,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,Egerton Mbaazi 4,,,2019,released,,Egerton University,,altitude_masl: Altitude: 800-1600 masl Examples: Baringo and Kerio valley, Medium seed size  Adaptable to sandy clay soil and loamy soil  Medium maturing  Good ratoonability | Alt(masl): Altitude: 800-1600 masl Examples: Baringo and Kerio valley | Maturity: 4-5 | Yield: 1.5-2,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PYRETHRUM#,KEN,Kenya,False,,kephis_partial_extract:variety_name,PYRETHRUM,Chrysanthemum cinerariaefolium,,,,1968,released,KARI,PBK,,altitude_masl: <2100, High pyrethrins content | Alt(masl): <2100 | Yield: -,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PYRETHRUM#,KEN,Kenya,False,,kephis_partial_extract:variety_name,PYRETHRUM,Chrysanthemum cinerariaefolium,,,,1968,released,KARI/PBK,PBK,,altitude_masl: 1900, High pyrethrins content | Alt(masl): 1900 | Yield: -,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SORGHUM#,KEN,Kenya,False,,kephis_partial_extract:variety_name,SORGHUM,Sorghum bicolour,,,,2016,released,Advanta Seeds Internat ional,"Kiboko, Kitui, Rwika, Katumani, Kilima mbogo",,, Dwarf hybrid  Short in height  Suitable for mechanical harvesting  Good for big farms  Dwarf hybrid  Tolerant to lodging  Tolerant to drought  Grain suitable for food  Feed and brewery | Maturity: 3 | Yield: 2.5-6.0,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SORGHUM#,KEN,Kenya,False,,kephis_partial_extract:variety_name,SORGHUM,Sorghum bicolour,,,,2018,released,Advanta Seeds,Advanta Seed International,,altitude_masl: Low to moderately high rainfall (450 to 750 mm annual rainfall)," Late maturing and high yielding cream hybrid  Semi open head type,  Resistant to Greenbug pest and midge  Excellent drought tolerance | Alt(masl): Low to moderately high rainfall (450 to 750 mm annual rainfall) | Maturity: 2-3 to Midbloo m, 3-4to Harvest | Yield: 3.2 – 4.0",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SORGHUM#,KEN,Kenya,False,,kephis_partial_extract:variety_name,SORGHUM,Sorghum bicolour,,,,2018,released,Advanta Seeds,Advanta Seed International,,altitude_masl: Low to moderately high rainfall (450 to 750 mm annual rainfall)," Late maturing and high yielding cream hybrid  Semi open head type  Resistant to Greenbug pest  Excellent drought tolerance | Alt(masl): Low to moderately high rainfall (450 to 750 mm annual rainfall) | Maturity: 2-3 to Midbloo m, 3-4 to Harvest | Yield: 3.0 – 3.5",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SORGHUM#,KEN,Kenya,False,,kephis_partial_extract:variety_name,SORGHUM,Sorghum bicolour,,,,2018,released,Advanta Seeds,Advanta Seed International,,altitude_masl: Low to moderate rainfall (450 to," Late maturing and high yielding cream hybrid | Alt(masl): Low to moderate rainfall (450 to | Maturity: 2-3 to Midbloo m, 3-4to Harvest | Yield: 3.2 – 3.8",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MACADAMIA#,KEN,Kenya,False,,"kephis_partial_extract:variety_name,year_release",MACADAMIA,Macadamia sp,,,,,unknown,KARI,KARI- Thika,,altitude_masl: 1400-1550, High fruit yield per cluster | Alt(masl): 1400-1550 | Yield: 46-50,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MACADAMIA#,KEN,Kenya,False,,"kephis_partial_extract:variety_name,year_release",MACADAMIA,Macadamia sp,,,,,unknown,KARI,KARI- Thika,,altitude_masl: 1400-1550, High first grade ratio | Alt(masl): 1400-1550 | Yield: 42-55,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MACADAMIA#,KEN,Kenya,False,,"kephis_partial_extract:variety_name,year_release",MACADAMIA,Macadamia sp,,,,,unknown,KARI,KARI- Thika,,altitude_masl: 1400-1550, High first grade ratio | Alt(masl): 1400-1550 | Yield: 42-60,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MACADAMIA#,KEN,Kenya,False,,"kephis_partial_extract:variety_name,year_release",MACADAMIA,Macadamia sp,,,,,unknown,KARI,KARI- Thika,,altitude_masl: 1400-1550, High kernel recovery | Alt(masl): 1400-1550 | Yield: 40-70,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,COFFEE#CCLviii SL 34,KEN,Kenya,False,,kephis_partial_extract:year_release,COFFEE,Coffee Arabica,CCLviii SL 34,,,,unknown,Coffee Research Foundati on,Coffee Research Foundatio n,,altitude_masl: 1300-1800, Fine liquor quality  Adaptable to medium to high altitude | Alt(masl): 1300-1800 | Maturity: 24 | Yield: 2-2.5,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SUGARCANE#EAK 69-47,KEN,Kenya,False,,kephis_partial_extract:year_release,SUGARCANE,Saccharum officinarum,EAK 69-47,,,,unknown,EAC/KESREF (also in TZ),KESREF,,altitude_masl: 1300-1600, High cane yield | Alt(masl): 1300-1600 | Maturity: 20-22 | Yield: 80-110,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SUGARCANE#EAK 70-97,KEN,Kenya,False,,kephis_partial_extract:year_release,SUGARCANE,Saccharum officinarum,EAK 70-97,,,,unknown,EAC/KESREF (also TZ),KESREF,,altitude_masl: 1300-1600, Smut tolerant | Alt(masl): 1300-1600 | Maturity: 18-20 | Yield: 95-120,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SUGARCANE#EAK 71- 402,KEN,Kenya,False,,kephis_partial_extract:year_release,SUGARCANE,Saccharum officinarum,EAK 71- 402,,,,unknown,EAC/KESREF (also in TZ),KESREF,,altitude_masl: 1300-1600, Tolerant to smut and mosaic | Alt(masl): 1300-1600 | Maturity: 20-22 | Yield: 80-115,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#Maize Early,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,Maize Early,,,,unknown,CIMMYT/ AATF,KALRO- Katumani/ CIMMYT,,altitude_masl: For dry low and transitional to dry-mid altitude regions," The hybrid is early maturing  Drought tolerant  Resistant to major leaf diseases such as gray leaf spot, Turcicum leaf blight and maize streak virus  It has good husk cover and plant and ear aspects | Alt(masl): For dry low and transitional to dry-mid altitude regions | Maturity: 3-3.5 | Yield: 5-8",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#Maize Early,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,Maize Early,,,,unknown,CIMMYT/ AATF,KALRO- Katumani/ CIMMYT,,altitude_masl: For dry low and transitional to dry-mid altitude regions," The hybrid is early maturing  Drought tolerant  Resistant to major leaf diseases such as gray leaf spot, | Alt(masl): For dry low and transitional to dry-mid altitude regions | Maturity: 3-3.5 | Yield: 4-8",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#Maize Early,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,Maize Early,,,,unknown,CIMMYT/ AATF,KALRO- Katumani/ CIMMYT,,altitude_masl: For dry low and transitional to dry-mid altitude regions," The hybrid is early maturing  Drought tolerant  Resistant to major leaf diseases such as gray leaf spot, Turcicum leaf blight and maize streak virus  It has good husk cover and plant and ear aspects | Alt(masl): For dry low and transitional to dry-mid altitude regions | Maturity: 3-3.5 | Yield: 5-9",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#Maize Midlat e,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,Maize Midlat e,,,,unknown,KALRO,KALRO Kakamega,,altitude_masl: Medium to mid-Late (upper Midland AEZ) Altitude: 1600 to 1800m asl, Resistant to blight and GLS | Alt(masl): Medium to mid-Late (upper Midland AEZ) Altitude: 1600 to 1800m asl | Maturity: 5-6 | Yield: 9-11,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#Maize Early,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,Maize Early,,,,unknown,Pioneer Hi-Bred Kenya,Pioneer Hi Bred Zimbabwe,,"altitude_masl: Medium altitude areas, early to intermediate maturity .e.g. Machakos, Makueni, Embu, Meru, Kisumu, Busia, Migori , Muranga, etc"," Excellent grain texture (Flint)  Stable hybrid  Good MSV tolerance  Good cob rot tolerance  Quick dry down | Alt(masl): Medium altitude areas, early to intermediate maturity .e.g. Machakos, Makueni, Embu, Meru, Kisumu, Busia, Migori , Muranga, etc | Maturity: 3-4 | Yield: 9",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#Maize Transi tional,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,Maize Transi tional,,,,unknown,KALRO,KALRO Muguga,,altitude_masl: Moist - transition 1200-1600m asl," Early maturity, MSV and GLS Resistant  Drought tolerant  Flint like to intermediate grains  Medium sized cobs, white grains | Alt(masl): Moist - transition 1200-1600m asl | Maturity: 3-4 | Yield: 6-7",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#Maize Mediu m,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,Maize Mediu m,,,,unknown,Kenya Seed Company,Kenya Seed Company,,altitude_masl: Medium AEZ’S 1200 -1500 masl, Drought tolerance  MSV and foliar disease tolerance  Flint grains | Alt(masl): Medium AEZ’S 1200 -1500 masl | Maturity: 4-5 | Yield: 8-9,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#ETGM 601,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,ETGM 601,,,,unknown,ETCIKL,ETCIKL,,"altitude_masl: Altitude: 1000-2000 m.a.s.l, AEZ : LM 1-3, Sites: Embu, Siaya, Migori,Soin, Kirinyaga, Meru, Busia, Kimaeti, Nyeri"," Drought tolerant  Grain-semi flint(Intermediate)  Medium maturity  High grain density  Good husk cover  Good standability | Alt(masl): Altitude: 1000-2000 m.a.s.l, AEZ : LM 1-3, Sites: Embu, Siaya, Migori,Soin, Kirinyaga, Meru, Busia, Kimaeti, Nyeri | Maturity: 3-4 | Yield: 9-10",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#X35N1 87W,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,X35N1 87W,,,,unknown,PIONEER Hi-Bred Zimbamb we,PIONEER Hi- Bred Zimbambwe,,"altitude_masl: Altitude: 1200-1500 m.a.s.l AEZ: lm 1-3, Site: Embu, Siaya, Migori,Soin, Kirinyaga, Meru, Busia, Kimaeti, Nyeri"," Grain –semi flint  Good husk cover  Good standability  Tolerance to NCLB  Wide adaptability | Alt(masl): Altitude: 1200-1500 m.a.s.l AEZ: lm 1-3, Site: Embu, Siaya, Migori,Soin, Kirinyaga, Meru, Busia, Kimaeti, Nyeri | Maturity: 3-4 | Yield: 8-11",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#X35N1 86W,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,X35N1 86W,,,,unknown,PANNAR SEED LTD,PANNAR SEED LTD,,"altitude_masl: Altitude: 1200-1500 m.a.s.l AEZ: LM 1-3 Sites: Nyeri, Kimaeti, Siaya, Embu, Meru, Kirinyaga,Mig ori, Busia, Soin"," Grain –semi flint  Good husk cover  Good standability  Tolerance to NCLB | Alt(masl): Altitude: 1200-1500 m.a.s.l AEZ: LM 1-3 Sites: Nyeri, Kimaeti, Siaya, Embu, Meru, Kirinyaga,Mig ori, Busia, Soin | Maturity: 3-4 | Yield: 7.5- 10.5",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,MAIZE#X40P6 39W,KEN,Kenya,False,,kephis_partial_extract:year_release,MAIZE,Zea mays L.,X40P6 39W,,,,unknown,PIONEER Hi-bred (K) LTD,PIONEER Hi- bred (K) LTD,,"altitude_masl: Altitude: 1500-1800 m.a.s.l AEZ: lh1-UM1-3 Sites: Uasin Gishu, Trans – Nzoia, Nakuru, Kakamega, Kisii, Kericho, Nyamira"," Grain –flint, Medium cob placement  Tolerant to GLS, NCLB, Diplodia  Excellent standability  Excellent husk cover | Alt(masl): Altitude: 1500-1800 m.a.s.l AEZ: lh1-UM1-3 Sites: Uasin Gishu, Trans – Nzoia, Nakuru, Kakamega, Kisii, Kericho, Nyamira | Maturity: 4-5 | Yield: 8-13",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SORGHUM#Sered o,KEN,Kenya,False,,kephis_partial_extract:year_release,SORGHUM,Sorghum bicolour,Sered o,,,,unknown,KARI/KS C,KARI/KSC,,altitude_masl: 250-1750, Wide adaptability | Alt(masl): 250-1750 | Maturity: 4 | Yield: 2.7 (G),https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SORGHUM#Seren a,KEN,Kenya,False,,kephis_partial_extract:year_release,SORGHUM,Sorghum bicolour,Seren a,,,,unknown,KARI/KS C,KARI/KSC,,altitude_masl: 250-1750, Wide adoptability | Alt(masl): 250-1750 | Maturity: 3 | Yield: 2.7 (G),https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,RICE#Basmati,KEN,Kenya,False,,kephis_partial_extract:year_release,RICE,Oryza sativa l.,Basmati,,,,unknown,KARI,KARI-Kibos,,altitude_masl: ND, ND | Alt(masl): ND | Maturity: ND | Yield: ND,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,RICE#Sindano,KEN,Kenya,False,,kephis_partial_extract:year_release,RICE,Oryza sativa l.,Sindano,,,,unknown,KARI,KARI-Kibos,,altitude_masl: ND, ND | Alt(masl): ND | Maturity: ND | Yield: ND,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,CLIMBING BEAN#MAC 13,KEN,Kenya,False,,kephis_partial_extract:year_release,CLIMBING BEAN,Phaseolus vulgaris L.,MAC 13,,,,unknown,KARI and University of Nairobi,KARI and University of Nairobi,,altitude_masl: 1400-2000, Sugar grain type (cream white background with red flecks)  Large seeded  Resistant to anthracnose | Alt(masl): 1400-2000 | Maturity: 3-4 | Yield: 1.2- 1.5,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,CLIMBING BEAN#MAC 34,KEN,Kenya,False,,kephis_partial_extract:year_release,CLIMBING BEAN,Phaseolus vulgaris L.,MAC 34,,,,unknown,KARI and University of Nairobi,KARI and University of Nairobi,,altitude_masl: 1400-2000," Red mottled, large wedge shaped seeds  Resistant to angular leafspot and common bacterial blight | Alt(masl): 1400-2000 | Maturity: 3.0-4.5 | Yield: 2-2.5",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,CLIMBING BEAN#MAC 64,KEN,Kenya,False,,kephis_partial_extract:year_release,CLIMBING BEAN,Phaseolus vulgaris L.,MAC 64,,,,unknown,K ARI and University of Nairobi,KARI and University of Nairobi,,altitude_masl: 1400-2000," Dark red mottled, medium seeded  Resistant to anthracnose and common bacterial blight | Alt(masl): 1400-2000 | Maturity: 3.0-5.0 | Yield: 2-3",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,COWPEA#Kunde 1,KEN,Kenya,False,,kephis_partial_extract:year_release,COWPEA,Vigna Ungulculata L. Walps,Kunde 1,,,,unknown,Wester n Seed Co.,Western Seed Co.,,altitude_masl: Below 2000, Dual purpose | Alt(masl): Below 2000 | Maturity: 2.5 - 3 | Yield: 1.2-2.5,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SETARIA GRASS#Nasiwa setaria,KEN,Kenya,False,,kephis_partial_extract:year_release,SETARIA GRASS,Setaria sphacelata,Nasiwa setaria,,,,unknown,KARI/Kenya Seed Co.,Kenya Seed Co.,,altitude_masl: 1000-2500, Good persistence (under grazing)  Drought tolerant  Good forage | Alt(masl): 1000-2500 | Maturity: 2.5-3 | Yield: 6.5- 17.4,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,SWEET POTATO#Kyemb adula 6,KEN,Kenya,False,,"kephis_partial_extract:year_release,breeder",SWEET POTATO,Ipomea batatas,Kyemb adula 6,,,,unknown,,KALRO- KATUMA NI,,"altitude_masl: Altitude: 1200- 1800 masl,Examples:K akamega Homabay , Kisii Tharaka Nyeri, Muranga,Taita Taveta- Wundamyi, Machakos"," Resistance to potato weevils Resistance to potato diseases  Tolerant to viral diseases  Flesh oroange(29A/2 3)(CIP chart) β-carotene 1500 µg/100g fwb content  Taste sweet Moderate | Alt(masl): Altitude: 1200- 1800 masl,Examples:K akamega Homabay , Kisii Tharaka Nyeri, Muranga,Taita Taveta- Wundamyi, Machakos",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
